epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,350.864,0.75033,0.55552,0.9075,0.94267,0.9881,0.99116,0.82015,0.69099,0.43324,0.85391,0.000178762,0.000178762,0.000178762
121,353.755,0.76041,0.54682,0.90973,0.94346,0.98417,0.99103,0.81726,0.68955,0.42801,0.85556,0.000173264,0.000173264,0.000173264
122,356.641,0.78667,0.54144,0.92391,0.94473,0.9778,0.99063,0.81827,0.70083,0.42449,0.85545,0.000167766,0.000167766,0.000167766
123,359.534,0.80418,0.57306,0.91762,0.94696,0.97888,0.99109,0.81993,0.69646,0.42876,0.85287,0.000162268,0.000162268,0.000162268
124,362.411,0.76253,0.53471,0.91047,0.93896,0.9819,0.99048,0.82131,0.68178,0.43081,0.84829,0.000156771,0.000156771,0.000156771
125,365.312,0.76101,0.53514,0.90902,0.93632,0.98499,0.99109,0.82485,0.67715,0.42629,0.84797,0.000151273,0.000151273,0.000151273
126,368.238,0.77473,0.54305,0.9221,0.94278,0.9827,0.99161,0.8269,0.67361,0.41864,0.84719,0.000145775,0.000145775,0.000145775
127,371.147,0.77052,0.54451,0.91603,0.93783,0.98911,0.9916,0.82776,0.66918,0.4165,0.84705,0.000140277,0.000140277,0.000140277
128,374.065,0.75698,0.52129,0.90847,0.96127,0.96715,0.99246,0.83023,0.66012,0.41441,0.84653,0.000134779,0.000134779,0.000134779
129,376.968,0.7504,0.53215,0.91243,0.95575,0.97582,0.99219,0.83058,0.66051,0.41167,0.84559,0.000129282,0.000129282,0.000129282
130,379.874,0.7777,0.5575,0.90896,0.94954,0.98012,0.99248,0.82493,0.66701,0.4136,0.84628,0.000123784,0.000123784,0.000123784
131,382.767,0.71648,0.51785,0.90106,0.94916,0.97788,0.99207,0.82899,0.66018,0.41119,0.84565,0.000118286,0.000118286,0.000118286
132,385.661,0.71488,0.52118,0.90187,0.9457,0.98125,0.99254,0.83366,0.6574,0.41042,0.84445,0.000112788,0.000112788,0.000112788
133,388.576,0.75919,0.52705,0.90639,0.94448,0.97968,0.99222,0.83716,0.65208,0.40925,0.84358,0.00010729,0.00010729,0.00010729
134,391.499,0.74263,0.52325,0.91163,0.94382,0.98634,0.99197,0.83712,0.64355,0.40594,0.84193,0.000101793,0.000101793,0.000101793
135,394.4,0.71952,0.52002,0.91619,0.95682,0.97705,0.99227,0.84047,0.64126,0.40276,0.84059,9.62948e-05,9.62948e-05,9.62948e-05
136,397.303,0.71968,0.53127,0.90305,0.96018,0.97438,0.99198,0.83898,0.63931,0.4015,0.83965,9.0797e-05,9.0797e-05,9.0797e-05
137,400.18,0.74795,0.555,0.9076,0.9409,0.98688,0.99094,0.83792,0.63328,0.40123,0.83827,8.52992e-05,8.52992e-05,8.52992e-05
138,403.078,0.70176,0.50967,0.91181,0.95241,0.9779,0.99076,0.84176,0.62872,0.40002,0.83821,7.98014e-05,7.98014e-05,7.98014e-05
139,406.001,0.74135,0.52634,0.89071,0.95254,0.97706,0.99179,0.84385,0.62882,0.39996,0.83877,7.43036e-05,7.43036e-05,7.43036e-05
140,408.933,0.72466,0.51871,0.89497,0.9469,0.98699,0.99258,0.84261,0.62554,0.39617,0.83812,6.88058e-05,6.88058e-05,6.88058e-05
141,412.313,0.74319,0.51684,0.89982,0.96062,0.97405,0.99225,0.84434,0.62764,0.39614,0.83754,6.3308e-05,6.3308e-05,6.3308e-05
142,415.261,0.73169,0.50333,0.87468,0.93961,0.99179,0.99196,0.84682,0.62889,0.39709,0.83804,5.78102e-05,5.78102e-05,5.78102e-05
143,418.17,0.74212,0.5196,0.88635,0.94854,0.98344,0.99208,0.84319,0.6328,0.40073,0.83909,5.23124e-05,5.23124e-05,5.23124e-05
144,421.06,0.72172,0.50436,0.87557,0.94031,0.98884,0.99202,0.84234,0.63175,0.40254,0.83916,4.68146e-05,4.68146e-05,4.68146e-05
145,423.921,0.71145,0.50575,0.86903,0.94799,0.97831,0.99219,0.84396,0.63047,0.40009,0.83904,4.13168e-05,4.13168e-05,4.13168e-05
146,426.793,0.69776,0.48408,0.87991,0.93838,0.98759,0.99196,0.84152,0.62621,0.39501,0.83796,3.5819e-05,3.5819e-05,3.5819e-05
147,429.695,0.70782,0.49405,0.88475,0.95334,0.97479,0.99259,0.84199,0.62338,0.39332,0.83719,3.03212e-05,3.03212e-05,3.03212e-05
148,432.579,0.68699,0.49333,0.88695,0.93958,0.98721,0.99229,0.84548,0.6218,0.39192,0.83679,2.48234e-05,2.48234e-05,2.48234e-05
149,435.436,0.71534,0.50085,0.89935,0.95156,0.97831,0.99248,0.84492,0.61915,0.39063,0.83631,1.93256e-05,1.93256e-05,1.93256e-05
150,438.334,0.70032,0.49002,0.87188,0.95438,0.97583,0.9927,0.84557,0.61625,0.39094,0.83601,1.38278e-05,1.38278e-05,1.38278e-05
